,Unnamed: 0,ccode,country,cname,cmark,year,wars,war,warl,onset,ethonset,durest,aim,casename,ended,ethwar,waryrs,pop,lpop,polity2,gdpen,gdptype,gdpenl,lgdpenl1,lpopl1,region,western,eeurop,lamerica,ssafrica,asia,nafrme,colbrit,colfra,mtnest,lmtnest,elevdiff,Oil,ncontig,ethfrac,ef,plural,second,numlang,relfrac,plurrel,minrelpc,muslim,nwstate,polity2l,instab,anocl,deml,empethfrac,empwarl,emponset,empgdpenl,emplpopl,emplmtnest,empncontig,empolity2l,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl
344,345,52,TRINIDAD & TOBAGO,TRINIDAD,0,1993,0,0,0,0,0,,,,,,,1265.0400390625,7.142858982086179,9.0,7.866867542266849,2.0,8.04100036621094,8.99226665496826,7.1388669013977095,latin america and the caribbean,0,0,1,0,0,0,1,0,0.0,0.0,940.0,1,0,0.558431506156921,0.646919012069702,0.40299999713897705,0.39599999785423295,3,0.772599995136261,30,25,6.0,0,9.0,0.0,0.0,1.0,0.558431506156921,0,0,8.04065799713135,7.1388669013977095,0.0,0,9.0,0,0,0.0,0.0,,,0.0,0,0.0
345,346,52,TRINIDAD & TOBAGO,TRINIDAD,0,1994,0,0,0,0,0,,,,,,,1275.75,7.15128946304321,9.0,8.09164714813232,2.0,7.86700010299683,8.970415115356449,7.142858982086179,latin america and the caribbean,0,0,1,0,0,0,1,0,0.0,0.0,940.0,1,0,0.558431506156921,0.646919012069702,0.40299999713897705,0.39599999785423295,3,0.772599995136261,30,25,6.0,0,9.0,0.0,0.0,1.0,0.558431506156921,0,0,7.866867542266849,7.142858982086179,0.0,0,9.0,0,0,0.0,0.0,,,,0,0.0
346,347,52,TRINIDAD & TOBAGO,TRINIDAD,0,1995,0,0,0,0,0,,,,,,,1287.0,7.16006898880005,9.0,8.35506916046143,2.0,8.09200000762939,8.9985876083374,7.15128946304321,latin america and the caribbean,0,0,1,0,0,0,1,0,0.0,0.0,940.0,1,0,0.558431506156921,0.646919012069702,0.40299999713897705,0.39599999785423295,3,0.772599995136261,30,25,6.0,0,9.0,0.0,0.0,1.0,0.558431506156921,0,0,8.09164714813232,7.15128946304321,0.0,0,9.0,0,0,0.0,0.0,,,,0,0.0
347,348,52,TRINIDAD & TOBAGO,TRINIDAD,0,1996,0,0,0,0,0,,,,,,,1297.0,7.167809009551999,9.0,8.61920642852783,2.0,8.35499954223633,9.03062343597412,7.16006898880005,latin america and the caribbean,0,0,1,0,0,0,1,0,0.0,0.0,940.0,1,0,0.558431506156921,0.646919012069702,0.40299999713897705,0.39599999785423295,3,0.772599995136261,30,25,6.0,0,9.0,0.0,0.0,1.0,0.558431506156921,0,0,8.35506916046143,7.16006898880005,0.0,0,9.0,0,0,0.0,0.0,,,,0,0.0
348,349,52,TRINIDAD & TOBAGO,TRINIDAD,0,1997,0,0,0,0,0,,,,,,,1307.30004882812,7.17571926116943,10.0,8.83430290222168,2.0,8.61900043487549,9.06174850463867,7.167809009551999,latin america and the caribbean,0,0,1,0,0,0,1,0,0.0,0.0,940.0,1,0,0.558431506156921,0.646919012069702,0.40299999713897705,0.39599999785423295,3,0.772599995136261,30,25,6.0,0,9.0,0.0,0.0,1.0,0.558431506156921,0,0,8.61920642852783,7.167809009551999,0.0,0,9.0,0,0,0.0,0.0,,,,0,0.0
349,350,52,TRINIDAD & TOBAGO,TRINIDAD,0,1998,0,0,0,0,0,,,,,,,1317.09997558594,7.18318748474121,10.0,9.2021598815918,2.0,8.83399963378906,9.08639717102051,7.17571926116943,latin america and the caribbean,0,0,1,0,0,0,1,0,0.0,0.0,940.0,1,0,0.558431506156921,0.646919012069702,0.40299999713897705,0.39599999785423295,3,0.772599995136261,30,25,6.0,0,10.0,0.0,0.0,1.0,0.558431506156921,0,0,8.83430290222168,7.17571926116943,0.0,0,10.0,0,0,0.0,0.0,,,,0,0.0
350,351,52,TRINIDAD & TOBAGO,TRINIDAD,0,1999,0,0,0,0,0,,,,,,,,,10.0,9.76655578613281,2.0,9.20199966430664,9.12719345092773,7.18318748474121,latin america and the caribbean,0,0,1,0,0,0,1,0,0.0,0.0,940.0,1,0,0.558431506156921,0.646919012069702,0.40299999713897705,0.39599999785423295,3,0.772599995136261,30,25,6.0,0,10.0,0.0,0.0,1.0,0.558431506156921,0,0,9.2021598815918,7.18318748474121,0.0,0,,0,0,0.0,0.0,,,,0,0.0
351,352,70,MEXICO,MEXICO,1,1945,0,0,0,0,0,,,,,,,22576.0,10.0246429443359,-6.0,1.83500003814697,3.0,1.83500003814697,7.51479959487915,10.0246429443359,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,1.83500003814697,10.0246429443359,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
352,353,70,MEXICO,MEXICO,0,1946,0,0,0,0,0,,,,,,,23182.0,10.0511312484741,-6.0,1.94200003147125,3.0,1.83500003814697,7.51479959487915,10.0246429443359,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,1.83500003814697,10.0246429443359,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
353,354,70,MEXICO,MEXICO,0,1947,0,0,0,0,0,,,,,,,23810.0,10.077860832214402,-6.0,2.05800008773804,3.0,1.94200003147125,7.57147359848022,10.0511312484741,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,1.94200003147125,10.0511312484741,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
